"state","year","month","unemployment_rate"
"CT",2021,"11","5.30"
"CT",2021,"12","5.00"
"CT",2022,"1","4.80"
"CT",2022,"2","4.60"
"CT",2022,"3","4.40"
"CT",2022,"4","4.30"
"CT",2022,"5","4.20"
"CT",2022,"6","4.00"
"CT",2022,"7","3.90"
"CT",2022,"8","3.70"
"CT",2022,"9","3.70"
"CT",2022,"10","3.70"
"CT",2022,"11","3.60"
"CT",2022,"12","3.50"
"CT",2023,"1","3.40"
"CT",2023,"2","3.30"
"CT",2023,"3","3.20"
"CT",2023,"4","3.10"
"CT",2023,"5","3.10"
"CT",2023,"6","3.00"
"CT",2023,"7","3.10"
"CT",2023,"8","3.10"
"CT",2023,"9","3.20"
"CT",2023,"10","3.30"
"CT",2023,"11","3.30"
"CT",2023,"12","3.30"
"CT",2024,"1","3.30"
"CT",2024,"2","3.20"
"CT",2024,"3","3.20"
"CT",2024,"4","3.10"
"CT",2024,"5","3.10"
"CT",2024,"6","3.10"
"CT",2024,"7","3.10"
"CT",2024,"8","3.20"
"CT",2024,"9","3.20"
"CT",2024,"10","3.20"
"CT",2024,"11","3.20"
"CT",2024,"12","3.20"
"DC",2015,"1","7.30"
"DC",2015,"2","7.30"
"DC",2015,"3","7.20"
"DC",2015,"4","7.10"
"DC",2015,"5","7.00"
"DC",2015,"6","6.90"
"DC",2015,"7","6.80"
"DC",2015,"8","6.70"
"DC",2015,"9","6.70"
"DC",2015,"10","6.60"
"DC",2015,"11","6.50"
"DC",2015,"12","6.50"
"DC",2016,"1","6.40"
"DC",2016,"2","6.30"
"DC",2016,"3","6.20"
"DC",2016,"4","6.10"
"DC",2016,"5","6.10"
"DC",2016,"6","6.10"
"DC",2016,"7","6.20"
"DC",2016,"8","6.20"
"DC",2016,"9","6.30"
"DC",2016,"10","6.30"
"DC",2016,"11","6.30"
"DC",2016,"12","6.30"
"DC",2017,"1","6.30"
"DC",2017,"2","6.20"
"DC",2017,"3","6.20"
"DC",2017,"4","6.20"
"DC",2017,"5","6.20"
"DC",2017,"6","6.20"
"DC",2017,"7","6.10"
"DC",2017,"8","6.10"
"DC",2017,"9","6.00"
"DC",2017,"10","6.00"
"DC",2017,"11","5.90"
"DC",2017,"12","5.90"
"DC",2018,"1","5.90"
"DC",2018,"2","5.90"
"DC",2018,"3","5.80"
"DC",2018,"4","5.80"
"DC",2018,"5","5.70"
"DC",2018,"6","5.70"
"DC",2018,"7","5.60"
"DC",2018,"8","5.50"
"DC",2018,"9","5.50"
"DC",2018,"10","5.60"
"DC",2018,"11","5.70"
"DC",2018,"12","5.90"
"DC",2019,"1","5.90"
"DC",2019,"2","5.90"
"DC",2019,"3","5.90"
"DC",2019,"4","5.70"
"DC",2019,"5","5.60"
"DC",2019,"6","5.50"
"DC",2019,"7","5.40"
"DC",2019,"8","5.30"
"DC",2019,"9","5.20"
"DC",2019,"10","5.20"
"DC",2019,"11","5.20"
"DC",2019,"12","5.40"
"DC",2020,"1","5.50"
"DC",2020,"2","5.70"
"DC",2020,"3","5.80"
"DC",2020,"4","11.30"
"DC",2020,"5","8.80"
"DC",2020,"6","8.60"
"DC",2020,"7","8.70"
"DC",2020,"8","8.50"
"DC",2020,"9","8.60"
"DC",2020,"10","8.30"
"DC",2020,"11","8.00"
"DC",2020,"12","7.80"
"DC",2021,"1","7.30"
"DC",2021,"2","7.00"
"DC",2021,"3","7.00"
"DC",2021,"4","7.00"
"DC",2021,"5","7.00"
"DC",2021,"6","7.20"
"DC",2021,"7","7.10"
"DC",2021,"8","6.90"
"DC",2021,"9","6.60"
